CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,Segment,Cluster,Cluster_Label
12422,95,3,728.56,2,3,3,8,233,Risk Altındakiler,0,Altın Müşteri
12423,0,8,1855.41,5,5,4,14,554,Şampiyonlar,1,Platin Müşteri
12424,162,2,1735.52,2,2,4,8,224,Pasif Müşteriler,0,Altın Müşteri
12425,78,1,777.2,2,1,3,6,213,Pasif Müşteriler,0,Altın Müşteri
12426,194,1,568.78,1,1,3,5,113,Pasif Müşteriler,2,Gümüş Müşteri
12427,21,3,769.52,4,3,3,10,433,Sadık Müşteriler,0,Altın Müşteri
12428,25,9,6806.36,4,5,5,14,455,Şampiyonlar,1,Platin Müşteri
12429,9,4,3673.4,5,4,5,14,545,Şampiyonlar,1,Platin Müşteri
12430,43,1,231.4,3,1,1,5,311,Pasif Müşteriler,0,Altın Müşteri
12431,35,15,5752.96,3,5,5,13,355,Sadık Müşteriler,1,Platin Müşteri
12432,42,5,4194.52,3,4,5,12,345,Sadık Müşteriler,1,Platin Müşteri
12433,0,7,13185.31,5,5,5,15,555,Şampiyonlar,1,Platin Müşteri
12434,84,2,806.14,2,2,3,7,223,Pasif Müşteriler,0,Altın Müşteri
12435,79,2,7626.85,2,2,5,9,225,Umut Vaad Edenler,1,Platin Müşteri
12436,99,1,459.01,2,1,2,5,212,Pasif Müşteriler,0,Altın Müşteri
12437,1,18,4867.41,5,5,5,15,555,Şampiyonlar,1,Platin Müşteri
12438,14,2,2631.85,4,2,5,11,425,Yeni Müşteriler,0,Altın Müşteri
12441,366,1,170.55,1,1,1,3,111,Kayıp Müşteriler,2,Gümüş Müşteri
12442,3,1,159.06,5,1,1,7,511,Yeni Müşteriler,0,Altın Müşteri
12444,21,5,4337.61,4,4,5,13,445,Şampiyonlar,1,Platin Müşteri
12445,22,1,107.4,4,1,1,6,411,Yeni Müşteriler,0,Altın Müşteri
12446,57,1,1002.31,3,1,4,8,314,Pasif Müşteriler,0,Altın Müşteri
12447,243,1,476.49,1,1,3,5,113,Pasif Müşteriler,2,Gümüş Müşteri
12448,44,1,360.45,3,1,2,6,312,Pasif Müşteriler,0,Altın Müşteri
12449,22,4,4046.29,4,4,5,13,445,Şampiyonlar,1,Platin Müşteri
12450,156,2,197.88,2,2,1,5,221,Pasif Müşteriler,2,Gümüş Müşteri
12451,10,5,8985.17,5,4,5,14,545,Şampiyonlar,1,Platin Müşteri
12452,16,2,380.57,4,2,2,8,422,Yeni Müşteriler,0,Altın Müşteri
12453,134,1,707.09,2,1,3,6,213,Pasif Müşteriler,0,Altın Müşteri
12454,56,1,2950.84,3,1,5,9,315,Umut Vaad Edenler,0,Altın Müşteri
12455,73,6,2322.46,2,4,5,11,245,Risk Altındakiler,1,Platin Müşteri
12456,44,3,2806.04,3,3,5,11,335,Sadık Müşteriler,1,Platin Müşteri
12457,66,7,2147.63,3,5,5,13,355,Sadık Müşteriler,1,Platin Müşteri
12458,71,2,847.4,3,2,3,8,323,Potansiyel Sadıklar,0,Altın Müşteri
12461,94,2,701.88,2,2,3,7,223,Pasif Müşteriler,0,Altın Müşteri
12462,18,2,1072.59,4,2,4,10,424,Yeni Müşteriler,0,Altın Müşteri
12463,53,4,1320.78,3,4,4,11,344,Sadık Müşteriler,1,Platin Müşteri
12464,10,8,1200.35,5,5,4,14,554,Şampiyonlar,1,Platin Müşteri
12465,17,2,742.19,4,2,3,9,423,Yeni Müşteriler,0,Altın Müşteri
12468,187,2,717.54,1,2,3,6,123,Pasif Müşteriler,2,Gümüş Müşteri
12471,2,30,19006.7,5,5,5,15,555,Şampiyonlar,1,Platin Müşteri
12472,32,7,6480.31,4,5,5,14,455,Şampiyonlar,1,Platin Müşteri
12473,29,5,2849.88,4,4,5,13,445,Şampiyonlar,1,Platin Müşteri
12474,17,18,7190.34,4,5,5,14,455,Şampiyonlar,1,Platin Müşteri
12475,53,1,714.38,3,1,3,7,313,Pasif Müşteriler,0,Altın Müşteri
12476,15,11,6605.17,4,5,5,14,455,Şampiyonlar,1,Platin Müşteri
12477,22,6,13213.89,4,4,5,13,445,Şampiyonlar,1,Platin Müşteri
12478,3,1,590.99,5,1,3,9,513,Yeni Müşteriler,0,Altın Müşteri
12479,11,1,518.2,5,1,3,9,513,Yeni Müşteriler,0,Altın Müşteri
12480,28,4,3096.83,4,4,5,13,445,Şampiyonlar,1,Platin Müşteri
12481,22,10,5476.02,4,5,5,14,455,Şampiyonlar,1,Platin Müşteri
12483,17,8,2150.98,4,5,5,14,455,Şampiyonlar,1,Platin Müşteri
12484,32,6,4175.98,4,4,5,13,445,Şampiyonlar,1,Platin Müşteri
12488,9,3,1270.16,5,3,4,12,534,Sadık Müşteriler,0,Altın Müşteri
12489,336,1,327.03,1,1,2,4,112,Kayıp Müşteriler,2,Gümüş Müşteri
12490,5,10,5324.93,5,5,5,15,555,Şampiyonlar,1,Platin Müşteri
12491,38,1,407.6,3,1,2,6,312,Pasif Müşteriler,0,Altın Müşteri
12492,63,2,257.21,3,2,2,7,322,Potansiyel Sadıklar,0,Altın Müşteri
12493,165,2,422.79,2,2,2,6,222,Pasif Müşteriler,2,Gümüş Müşteri
12494,15,7,1219.1,4,5,4,13,454,Şampiyonlar,1,Platin Müşteri
12497,81,1,1017.6,2,1,4,7,214,Pasif Müşteriler,0,Altın Müşteri
12498,21,3,394.7,4,3,2,9,432,Potansiyel Sadıklar,0,Altın Müşteri
12500,23,11,3763.79,4,5,5,14,455,Şampiyonlar,1,Platin Müşteri
12501,336,1,2143.44,1,1,5,7,115,Pasif Müşteriler,2,Gümüş Müşteri
12502,95,5,3370.22,2,4,5,11,245,Risk Altındakiler,1,Platin Müşteri
12504,18,2,473.05,4,2,3,9,423,Yeni Müşteriler,0,Altın Müşteri
12506,232,1,73.5,1,1,1,3,111,Kayıp Müşteriler,2,Gümüş Müşteri
12507,134,3,1127.41,2,3,4,9,234,Risk Altındakiler,0,Altın Müşteri
12508,26,2,390.36,4,2,2,8,422,Yeni Müşteriler,0,Altın Müşteri
12509,284,1,173.5,1,1,1,3,111,Kayıp Müşteriler,2,Gümüş Müşteri
12510,142,2,904.57,2,2,4,8,224,Pasif Müşteriler,0,Altın Müşteri
12512,66,2,132.18,3,2,1,6,321,Pasif Müşteriler,0,Altın Müşteri
12513,112,1,603.29,2,1,3,6,213,Pasif Müşteriler,0,Altın Müşteri
12514,267,1,1017.68,1,1,4,6,114,Pasif Müşteriler,2,Gümüş Müşteri
12515,353,1,323.7,1,1,2,4,112,Kayıp Müşteriler,2,Gümüş Müşteri
12516,77,2,1273.78,2,2,4,8,224,Pasif Müşteriler,0,Altın Müşteri
12517,28,5,2418.46,4,4,5,13,445,Şampiyonlar,1,Platin Müşteri
12518,0,5,2020.89,5,4,5,14,545,Şampiyonlar,1,Platin Müşteri
12519,63,1,321.84,3,1,2,6,312,Pasif Müşteriler,0,Altın Müşteri
12520,79,5,2584.31,2,4,5,11,245,Risk Altındakiler,1,Platin Müşteri
12521,142,1,590.68,2,1,3,6,213,Pasif Müşteriler,0,Altın Müşteri
12522,39,2,186.72,3,2,1,6,321,Pasif Müşteriler,0,Altın Müşteri
12523,19,11,1762.82,4,5,4,13,454,Şampiyonlar,1,Platin Müşteri
12524,9,8,4270.44,5,5,5,15,555,Şampiyonlar,1,Platin Müşteri
12526,0,3,1292.66,5,3,4,12,534,Sadık Müşteriler,0,Altın Müşteri
12527,81,3,345.71,2,3,2,7,232,Pasif Müşteriler,0,Altın Müşteri
12528,9,6,1883.53,5,5,4,14,554,Şampiyonlar,1,Platin Müşteri
12530,59,4,1555.48,3,4,4,11,344,Sadık Müşteriler,1,Platin Müşteri
12531,14,1,110.27,4,1,1,6,411,Yeni Müşteriler,0,Altın Müşteri
12532,30,1,343.83,4,1,2,7,412,Yeni Müşteriler,0,Altın Müşteri
12534,130,1,1067.23,2,1,4,7,214,Pasif Müşteriler,0,Altın Müşteri
12535,91,2,716.35,2,2,3,7,223,Pasif Müşteriler,0,Altın Müşteri
12536,43,3,4290.26,3,3,5,11,335,Sadık Müşteriler,1,Platin Müşteri
12538,29,1,363.95,4,1,2,7,412,Yeni Müşteriler,0,Altın Müşteri
12539,22,4,5554.7,4,4,5,13,445,Şampiyonlar,1,Platin Müşteri
12540,19,17,12524.69,4,5,5,14,455,Şampiyonlar,1,Platin Müşteri
12541,29,3,916.18,4,3,4,11,434,Sadık Müşteriler,0,Altın Müşteri
12544,36,1,346.7,3,1,2,6,312,Pasif Müşteriler,0,Altın Müşteri
12545,75,2,922.39,2,2,4,8,224,Pasif Müşteriler,0,Altın Müşteri
12546,46,2,1096.5,3,2,4,9,324,Potansiyel Sadıklar,0,Altın Müşteri
12547,197,2,181.8,1,2,1,4,121,Kayıp Müşteriler,2,Gümüş Müşteri
12548,166,1,82.2,2,1,1,4,211,Pasif Müşteriler,2,Gümüş Müşteri
12550,79,1,899.83,2,1,4,7,214,Pasif Müşteriler,0,Altın Müşteri
12551,357,1,168.0,1,1,1,3,111,Kayıp Müşteriler,2,Gümüş Müşteri
12552,38,2,362.82,3,2,2,7,322,Potansiyel Sadıklar,0,Altın Müşteri
12553,8,10,3623.28,5,5,5,15,555,Şampiyonlar,1,Platin Müşteri
12556,50,2,585.06,3,2,3,8,323,Potansiyel Sadıklar,0,Altın Müşteri
12557,16,5,6624.54,4,4,5,13,445,Şampiyonlar,1,Platin Müşteri
12558,7,1,269.96,5,1,2,8,512,Yeni Müşteriler,0,Altın Müşteri
12559,310,2,555.71,1,2,3,6,123,Pasif Müşteriler,2,Gümüş Müşteri
12560,5,3,2096.06,5,3,5,13,535,Sadık Müşteriler,1,Platin Müşteri
12561,302,1,238.85,1,1,2,4,112,Kayıp Müşteriler,2,Gümüş Müşteri
12562,8,7,3700.14,5,5,5,15,555,Şampiyonlar,1,Platin Müşteri
12564,261,1,442.05,1,1,2,4,112,Kayıp Müşteriler,2,Gümüş Müşteri
12565,288,1,145.92,1,1,1,3,111,Kayıp Müşteriler,2,Gümüş Müşteri
12566,86,1,342.65,2,1,2,5,212,Pasif Müşteriler,0,Altın Müşteri
12567,22,10,9132.13,4,5,5,14,455,Şampiyonlar,1,Platin Müşteri
12569,2,32,3962.69,5,5,5,15,555,Şampiyonlar,1,Platin Müşteri
12571,39,2,519.61,3,2,3,8,323,Potansiyel Sadıklar,0,Altın Müşteri
12572,8,2,998.52,5,2,4,11,524,Yeni Müşteriler,0,Altın Müşteri
12573,227,1,157.19,1,1,1,3,111,Kayıp Müşteriler,2,Gümüş Müşteri
12574,315,1,212.45,1,1,1,3,111,Kayıp Müşteriler,2,Gümüş Müşteri
12576,35,5,1298.93,3,4,4,11,344,Sadık Müşteriler,1,Platin Müşteri
12577,35,3,618.2,3,3,3,9,333,Sadık Müşteriler,0,Altın Müşteri
12578,21,2,2612.51,4,2,5,11,425,Yeni Müşteriler,0,Altın Müşteri
12579,78,1,431.42,2,1,2,5,212,Pasif Müşteriler,0,Altın Müşteri
12580,246,1,409.7,1,1,2,4,112,Kayıp Müşteriler,2,Gümüş Müşteri
12581,39,1,194.71,3,1,1,5,311,Pasif Müşteriler,0,Altın Müşteri
12582,238,2,411.36,1,2,2,5,122,Kayıp Müşteriler,2,Gümüş Müşteri
12583,2,15,7103.93,5,5,5,15,555,Şampiyonlar,1,Platin Müşteri
12584,3,9,2273.8,5,5,5,15,555,Şampiyonlar,1,Platin Müşteri
12585,234,2,1950.36,1,2,5,8,125,Pasif Müşteriler,2,Gümüş Müşteri
12586,17,1,196.94,4,1,1,6,411,Yeni Müşteriler,0,Altın Müşteri
12587,7,1,119.0,5,1,1,7,511,Yeni Müşteriler,0,Altın Müşteri
12588,39,1,189.9,3,1,1,5,311,Pasif Müşteriler,0,Altın Müşteri
12589,28,2,634.68,4,2,3,9,423,Yeni Müşteriler,0,Altın Müşteri
12590,211,2,9044.26,1,2,5,8,125,Pasif Müşteriler,1,Platin Müşteri
12591,317,1,413.85,1,1,2,4,112,Kayıp Müşteriler,2,Gümüş Müşteri
12592,92,2,431.6,2,2,2,6,222,Pasif Müşteriler,0,Altın Müşteri
12593,108,3,412.1,2,3,2,7,232,Pasif Müşteriler,0,Altın Müşteri
12594,37,10,3283.22,3,5,5,13,355,Sadık Müşteriler,1,Platin Müşteri
12596,51,2,540.27,3,2,3,8,323,Potansiyel Sadıklar,0,Altın Müşteri
12597,19,4,3517.72,4,4,5,13,445,Şampiyonlar,1,Platin Müşteri
12598,9,8,2987.08,5,5,5,15,555,Şampiyonlar,1,Platin Müşteri
12599,29,7,1008.58,4,5,4,13,454,Şampiyonlar,1,Platin Müşteri
12600,28,10,2551.04,4,5,5,14,455,Şampiyonlar,1,Platin Müşteri
12601,189,5,537.11,1,4,3,8,143,Risk Altındakiler,2,Gümüş Müşteri
12602,58,1,153.12,3,1,1,5,311,Pasif Müşteriler,0,Altın Müşteri
12603,21,1,718.2,4,1,3,8,413,Yeni Müşteriler,0,Altın Müşteri
12604,79,2,251.18,2,2,2,6,222,Pasif Müşteriler,0,Altın Müşteri
12607,60,1,1577.56,3,1,4,8,314,Pasif Müşteriler,0,Altın Müşteri
12609,78,3,1099.85,2,3,4,9,234,Risk Altındakiler,0,Altın Müşteri
12610,22,5,1889.74,4,4,4,12,444,Şampiyonlar,1,Platin Müşteri
12611,52,1,1135.72,3,1,4,8,314,Pasif Müşteriler,0,Altın Müşteri
12612,74,1,698.04,2,1,3,6,213,Pasif Müşteriler,0,Altın Müşteri
12613,57,5,3302.38,3,4,5,12,345,Sadık Müşteriler,1,Platin Müşteri
12614,277,1,315.6,1,1,2,4,112,Kayıp Müşteriler,2,Gümüş Müşteri
12615,2,4,2258.19,5,4,5,14,545,Şampiyonlar,1,Platin Müşteri
12616,95,2,701.3,2,2,3,7,223,Pasif Müşteriler,0,Altın Müşteri
12617,29,1,341.63,4,1,2,7,412,Yeni Müşteriler,0,Altın Müşteri
12618,21,1,152.31,4,1,1,6,411,Yeni Müşteriler,0,Altın Müşteri
12619,16,9,3100.68,4,5,5,14,455,Şampiyonlar,1,Platin Müşteri
12620,14,3,1333.41,4,3,4,11,434,Sadık Müşteriler,0,Altın Müşteri
12621,1,20,13268.17,5,5,5,15,555,Şampiyonlar,1,Platin Müşteri
12622,232,1,177.1,1,1,1,3,111,Kayıp Müşteriler,2,Gümüş Müşteri
12623,276,1,299.1,1,1,2,4,112,Kayıp Müşteriler,2,Gümüş Müşteri
12624,106,2,629.13,2,2,3,7,223,Pasif Müşteriler,0,Altın Müşteri
12625,211,2,2638.82,1,2,5,8,125,Pasif Müşteriler,2,Gümüş Müşteri
12626,23,9,6509.48,4,5,5,14,455,Şampiyonlar,1,Platin Müşteri
12627,10,7,4407.38,5,5,5,15,555,Şampiyonlar,1,Platin Müşteri
12628,4,3,777.46,5,3,3,11,533,Sadık Müşteriler,0,Altın Müşteri
12630,9,2,1118.93,5,2,4,11,524,Yeni Müşteriler,0,Altın Müşteri
12631,57,1,540.5,3,1,3,7,313,Pasif Müşteriler,0,Altın Müşteri
12633,58,4,2040.18,3,4,5,12,345,Sadık Müşteriler,1,Platin Müşteri
12635,89,2,1659.18,2,2,4,8,224,Pasif Müşteriler,0,Altın Müşteri
12637,67,8,5916.06,3,5,5,13,355,Sadık Müşteriler,1,Platin Müşteri
12638,33,1,571.69,3,1,3,7,313,Pasif Müşteriler,0,Altın Müşteri
12639,238,1,411.1,1,1,2,4,112,Kayıp Müşteriler,2,Gümüş Müşteri
12640,23,3,1140.68,4,3,4,11,434,Sadık Müşteriler,0,Altın Müşteri
12641,115,1,160.9,2,1,1,4,211,Pasif Müşteriler,0,Altın Müşteri
12642,25,3,993.31,4,3,4,11,434,Sadık Müşteriler,0,Altın Müşteri
12643,128,6,2504.6,2,5,5,12,255,Risk Altındakiler,1,Platin Müşteri
12644,129,1,477.91,2,1,3,6,213,Pasif Müşteriler,0,Altın Müşteri
12645,33,4,1751.18,3,4,4,11,344,Sadık Müşteriler,1,Platin Müşteri
12646,4,2,1346.97,5,2,4,11,524,Yeni Müşteriler,0,Altın Müşteri
12647,22,12,3604.02,4,5,5,14,455,Şampiyonlar,1,Platin Müşteri
12648,154,1,315.05,2,1,2,5,212,Pasif Müşteriler,2,Gümüş Müşteri
12649,107,3,614.51,2,3,3,8,233,Risk Altındakiler,0,Altın Müşteri
12650,3,1,302.44,5,1,2,8,512,Yeni Müşteriler,0,Altın Müşteri
12651,334,1,114.0,1,1,1,3,111,Kayıp Müşteriler,2,Gümüş Müşteri
12652,331,1,898.98,1,1,4,6,114,Pasif Müşteriler,2,Gümüş Müşteri
12653,148,2,2209.85,2,2,5,9,225,Umut Vaad Edenler,0,Altın Müşteri
12654,10,5,589.98,5,4,3,12,543,Sadık Müşteriler,0,Altın Müşteri
12656,17,5,3969.42,4,4,5,13,445,Şampiyonlar,1,Platin Müşteri
12657,11,4,1497.98,5,4,4,13,544,Şampiyonlar,1,Platin Müşteri
12658,18,1,677.05,4,1,3,8,413,Yeni Müşteriler,0,Altın Müşteri
12659,29,1,88.68,4,1,1,6,411,Yeni Müşteriler,0,Altın Müşteri
12660,11,1,242.1,5,1,2,8,512,Yeni Müşteriler,0,Altın Müşteri
12662,0,11,3783.83,5,5,5,15,555,Şampiyonlar,1,Platin Müşteri
12664,8,9,4616.88,5,5,5,15,555,Şampiyonlar,1,Platin Müşteri
12665,324,1,60.0,1,1,1,3,111,Kayıp Müşteriler,2,Gümüş Müşteri
12667,58,1,520.13,3,1,3,7,313,Pasif Müşteriler,0,Altın Müşteri
12668,11,4,3702.15,5,4,5,14,545,Şampiyonlar,1,Platin Müşteri
12669,150,3,1590.78,2,3,4,9,234,Risk Altındakiler,0,Altın Müşteri
12670,10,5,2954.05,5,4,5,14,545,Şampiyonlar,1,Platin Müşteri
12672,329,1,225.9,1,1,1,3,111,Kayıp Müşteriler,2,Gümüş Müşteri
12673,5,2,604.52,5,2,3,10,523,Yeni Müşteriler,0,Altın Müşteri
12674,38,4,1949.6,3,4,5,12,345,Sadık Müşteriler,1,Platin Müşteri
12676,24,6,1181.39,4,5,4,13,454,Şampiyonlar,1,Platin Müşteri
12678,42,12,13844.46,3,5,5,13,355,Sadık Müşteriler,1,Platin Müşteri
12679,58,4,1086.02,3,4,4,11,344,Sadık Müşteriler,0,Altın Müşteri
12680,0,4,850.81,5,4,3,12,543,Sadık Müşteriler,0,Altın Müşteri
12681,14,22,13550.54,4,5,5,14,455,Şampiyonlar,1,Platin Müşteri
12682,3,31,11897.98,5,5,5,15,555,Şampiyonlar,1,Platin Müşteri
12683,4,15,8337.57,5,5,5,15,555,Şampiyonlar,1,Platin Müşteri
12684,7,7,2244.99,5,5,5,15,555,Şampiyonlar,1,Platin Müşteri
12685,28,6,2815.08,4,5,5,14,455,Şampiyonlar,1,Platin Müşteri
12686,371,1,86.14,1,1,1,3,111,Kayıp Müşteriler,2,Gümüş Müşteri
12688,113,1,4640.91,2,1,5,8,215,Pasif Müşteriler,0,Altın Müşteri
12689,25,2,1229.61,4,2,4,10,424,Yeni Müşteriler,0,Altın Müşteri
12690,205,1,380.01,1,1,2,4,112,Kayıp Müşteriler,2,Gümüş Müşteri
12691,28,6,1017.8,4,5,4,13,454,Şampiyonlar,1,Platin Müşteri
12693,127,4,831.91,2,4,3,9,243,Risk Altındakiler,0,Altın Müşteri
12694,70,2,851.67,3,2,3,8,323,Potansiyel Sadıklar,0,Altın Müşteri
12695,7,4,582.1,5,4,3,12,543,Sadık Müşteriler,0,Altın Müşteri
12697,28,3,832.59,4,3,3,10,433,Sadık Müşteriler,0,Altın Müşteri
12700,7,4,4870.99,5,4,5,14,545,Şampiyonlar,1,Platin Müşteri
12701,79,2,781.81,2,2,3,7,223,Pasif Müşteriler,0,Altın Müşteri
12702,19,1,216.0,4,1,1,6,411,Yeni Müşteriler,0,Altın Müşteri
12703,71,1,280.55,3,1,2,6,312,Pasif Müşteriler,0,Altın Müşteri
12704,7,8,1955.89,5,5,5,15,555,Şampiyonlar,1,Platin Müşteri
12705,15,9,6787.29,4,5,5,14,455,Şampiyonlar,1,Platin Müşteri
12707,291,1,603.42,1,1,3,5,113,Pasif Müşteriler,2,Gümüş Müşteri
12708,29,10,2664.11,4,5,5,14,455,Şampiyonlar,1,Platin Müşteri
12709,15,15,9655.52,4,5,5,14,455,Şampiyonlar,1,Platin Müşteri
12710,96,3,1128.02,2,3,4,9,234,Risk Altındakiler,0,Altın Müşteri
12712,28,13,4308.13,4,5,5,14,455,Şampiyonlar,1,Platin Müşteri
12713,0,1,839.55,5,1,3,9,513,Yeni Müşteriler,0,Altın Müşteri
12714,9,5,4639.86,5,4,5,14,545,Şampiyonlar,1,Platin Müşteri
12715,106,1,293.36,2,1,2,5,212,Pasif Müşteriler,0,Altın Müşteri
12716,3,2,1038.49,5,2,4,11,524,Yeni Müşteriler,0,Altın Müşteri
12717,151,2,866.03,2,2,3,7,223,Pasif Müşteriler,0,Altın Müşteri
12718,71,1,232.25,3,1,1,5,311,Pasif Müşteriler,0,Altın Müşteri
12719,5,2,632.95,5,2,3,10,523,Yeni Müşteriler,0,Altın Müşteri
12720,2,25,5661.37,5,5,5,15,555,Şampiyonlar,1,Platin Müşteri
12721,31,6,2605.28,4,5,5,14,455,Şampiyonlar,1,Platin Müşteri
12722,85,4,986.83,2,4,4,10,244,Risk Altındakiler,0,Altın Müşteri
12723,3,5,712.32,5,4,3,12,543,Sadık Müşteriler,1,Platin Müşteri
12724,5,4,1013.41,5,4,4,13,544,Şampiyonlar,0,Altın Müşteri
12725,371,1,401.8,1,1,2,4,112,Kayıp Müşteriler,2,Gümüş Müşteri
12726,28,7,2562.42,4,5,5,14,455,Şampiyonlar,1,Platin Müşteri
12727,10,7,3890.7,5,5,5,15,555,Şampiyonlar,1,Platin Müşteri
12728,71,4,818.33,3,4,3,10,343,Sadık Müşteriler,0,Altın Müşteri
12729,113,1,447.01,2,1,2,5,212,Pasif Müşteriler,0,Altın Müşteri
12731,23,12,18506.25,4,5,5,14,455,Şampiyonlar,1,Platin Müşteri
12732,179,1,233.26,2,1,2,5,212,Pasif Müşteriler,2,Gümüş Müşteri
12733,234,1,383.95,1,1,2,4,112,Kayıp Müşteriler,2,Gümüş Müşteri
12734,352,1,110.4,1,1,1,3,111,Kayıp Müşteriler,2,Gümüş Müşteri
