CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,Segment
12639,238,1,410.95,1,1,2,4,112,Kayıp Müşteriler
12640,23,3,1140.08,4,3,4,11,434,Sadık Müşteriler
12641,115,1,160.85,2,1,1,4,211,Pasif Müşteriler
12642,25,3,992.96,4,3,4,11,434,Sadık Müşteriler
12643,128,6,2503.7,2,5,5,12,255,Risk Altındakiler
12644,129,1,477.91,2,1,3,6,213,Pasif Müşteriler
12645,33,4,1750.78,3,4,4,11,344,Sadık Müşteriler
12646,4,2,1346.97,5,2,4,11,524,Yeni Müşteriler
12647,22,12,3602.22,4,5,5,14,455,Şampiyonlar
12648,154,1,315.0,2,1,2,5,212,Pasif Müşteriler
12649,107,3,614.36,2,3,3,8,233,Risk Altındakiler
12650,3,1,302.24,5,1,2,8,512,Yeni Müşteriler
12651,334,1,114.0,1,1,1,3,111,Kayıp Müşteriler
12652,331,1,898.63,1,1,4,6,114,Pasif Müşteriler
12653,148,2,2209.85,2,2,5,9,225,Umut Vaad Edenler
12654,10,5,589.78,5,4,3,12,543,Sadık Müşteriler
12656,17,5,3967.97,4,4,5,13,445,Şampiyonlar
12657,11,4,1497.38,5,4,4,13,544,Şampiyonlar
12658,18,1,676.9,4,1,3,8,413,Yeni Müşteriler
12659,29,1,88.63,4,1,1,6,411,Yeni Müşteriler
12660,11,1,242.05,5,1,2,8,512,Yeni Müşteriler
12662,0,11,3782.93,5,5,5,15,555,Şampiyonlar
12664,8,9,4616.13,5,5,5,15,555,Şampiyonlar
12665,324,1,59.95,1,1,1,3,111,Kayıp Müşteriler
12667,58,1,519.93,3,1,3,7,313,Pasif Müşteriler
12668,11,4,3700.4,5,4,5,14,545,Şampiyonlar
12669,150,3,1590.18,2,3,4,9,234,Risk Altındakiler
12670,10,5,2953.35,5,4,5,14,545,Şampiyonlar
12672,329,1,225.9,1,1,1,3,111,Kayıp Müşteriler
12673,5,2,604.42,5,2,3,10,523,Yeni Müşteriler
12674,38,4,1949.25,3,4,5,12,345,Sadık Müşteriler
12676,24,6,1181.09,4,5,4,13,454,Şampiyonlar
12678,42,12,13843.31,3,5,5,13,355,Sadık Müşteriler
12679,58,4,1085.57,3,4,4,11,344,Sadık Müşteriler
12680,0,4,850.61,5,4,3,12,543,Sadık Müşteriler
12681,14,22,13546.59,4,5,5,14,455,Şampiyonlar
12682,3,31,11894.48,5,5,5,15,555,Şampiyonlar
12683,4,15,8335.17,5,5,5,15,555,Şampiyonlar
12684,7,7,2244.39,5,5,5,15,555,Şampiyonlar
12685,28,6,2814.28,4,5,5,14,455,Şampiyonlar
12686,371,1,86.09,1,1,1,3,111,Kayıp Müşteriler
12688,113,1,4640.66,2,1,5,8,215,Pasif Müşteriler
12689,25,2,1229.31,4,2,4,10,424,Yeni Müşteriler
12690,205,1,379.86,1,1,2,4,112,Kayıp Müşteriler
12691,28,6,1017.5,4,5,4,13,454,Şampiyonlar
12693,127,4,831.51,2,4,3,9,243,Risk Altındakiler
12694,70,2,851.37,3,2,3,8,323,Potansiyel Sadıklar
12695,7,4,582.1,5,4,3,12,543,Sadık Müşteriler
12697,28,3,832.34,4,3,3,10,433,Sadık Müşteriler
12700,7,4,4869.84,5,4,5,14,545,Şampiyonlar
12701,79,2,781.51,2,2,3,7,223,Pasif Müşteriler
12702,19,1,215.95,4,1,1,6,411,Yeni Müşteriler
12703,71,1,280.5,3,1,2,6,312,Pasif Müşteriler
12704,7,8,1955.09,5,5,5,15,555,Şampiyonlar
12705,15,9,6785.94,4,5,5,14,455,Şampiyonlar
12707,291,1,603.42,1,1,3,5,113,Pasif Müşteriler
12708,29,10,2663.16,4,5,5,14,455,Şampiyonlar
12709,15,15,9654.67,4,5,5,14,455,Şampiyonlar
12710,96,3,1127.67,2,3,4,9,234,Risk Altındakiler
12712,28,13,4306.78,4,5,5,14,455,Şampiyonlar
12713,0,1,839.4,5,1,3,9,513,Yeni Müşteriler
12714,9,5,4638.71,5,4,5,14,545,Şampiyonlar
12715,106,1,293.26,2,1,2,5,212,Pasif Müşteriler
12716,3,2,1038.24,5,2,4,11,524,Yeni Müşteriler
12717,151,2,865.78,2,2,3,7,223,Pasif Müşteriler
12718,71,1,232.15,3,1,1,5,311,Pasif Müşteriler
12719,5,2,632.75,5,2,3,10,523,Yeni Müşteriler
12720,2,25,5659.52,5,5,5,15,555,Şampiyonlar
12721,31,6,2604.38,4,5,5,14,455,Şampiyonlar
12722,85,4,986.58,2,4,4,10,244,Risk Altındakiler
12723,3,5,712.02,5,4,3,12,543,Sadık Müşteriler
12724,5,4,1013.11,5,4,4,13,544,Şampiyonlar
12725,371,1,401.7,1,1,2,4,112,Kayıp Müşteriler
12726,28,7,2561.87,4,5,5,14,455,Şampiyonlar
12727,10,7,3889.2,5,5,5,15,555,Şampiyonlar
12728,71,4,818.03,3,4,3,10,343,Sadık Müşteriler
12729,113,1,446.91,2,1,2,5,212,Pasif Müşteriler
12731,23,12,18505.85,4,5,5,14,455,Şampiyonlar
12732,179,1,233.21,2,1,2,5,212,Pasif Müşteriler
12733,234,1,383.95,1,1,2,4,112,Kayıp Müşteriler
12734,352,1,110.4,1,1,1,3,111,Kayıp Müşteriler
12735,315,2,763.32,1,2,3,6,123,Pasif Müşteriler
12736,332,1,218.75,1,1,1,3,111,Kayıp Müşteriler
12738,372,1,152.3,1,1,1,3,111,Kayıp Müşteriler
12739,78,2,990.49,2,2,4,8,224,Pasif Müşteriler
12740,63,1,427.6,3,1,2,6,312,Pasif Müşteriler
12743,134,2,528.58,2,2,3,7,223,Pasif Müşteriler
12744,51,7,8802.69,3,5,5,13,355,Sadık Müşteriler
12747,2,11,4195.01,5,5,5,15,555,Şampiyonlar
12748,0,209,30284.14,5,5,5,15,555,Şampiyonlar
12749,3,5,4055.83,5,4,5,14,545,Şampiyonlar
12750,128,1,275.88,2,1,2,5,212,Pasif Müşteriler
12752,81,1,4366.78,2,1,5,8,215,Pasif Müşteriler
12753,22,6,21241.47,4,5,5,14,455,Şampiyonlar
12754,235,3,1081.38,1,3,4,8,134,Risk Altındakiler
12755,280,2,323.55,1,2,2,5,122,Kayıp Müşteriler
12756,86,1,112.08,2,1,1,4,211,Pasif Müşteriler
12757,15,13,4076.25,4,5,5,14,455,Şampiyonlar
12758,116,2,2791.59,2,2,5,9,225,Umut Vaad Edenler
12759,52,3,1523.04,3,3,4,10,334,Sadık Müşteriler
12762,7,2,1807.17,5,2,4,11,524,Yeni Müşteriler
12763,138,2,494.08,2,2,3,7,223,Pasif Müşteriler
12764,316,1,1693.88,1,1,4,6,114,Pasif Müşteriler
12766,3,7,6741.68,5,5,5,15,555,Şampiyonlar
12769,238,1,1143.6,1,1,4,6,114,Pasif Müşteriler
12770,210,1,1351.45,1,1,4,6,114,Pasif Müşteriler
12772,59,1,827.22,3,1,3,7,313,Pasif Müşteriler
12775,17,5,1383.69,4,4,4,12,444,Şampiyonlar
12778,19,6,812.83,4,5,3,12,453,Sadık Müşteriler
12779,37,8,3981.36,3,5,5,13,355,Sadık Müşteriler
12781,63,2,801.69,3,2,3,8,323,Potansiyel Sadıklar
12782,4,5,2148.22,5,4,5,14,545,Şampiyonlar
12783,2,6,1490.22,5,5,4,14,554,Şampiyonlar
12784,9,2,486.57,5,2,3,10,523,Yeni Müşteriler
12785,364,1,283.85,1,1,2,4,112,Kayıp Müşteriler
12787,9,3,463.51,5,3,3,11,533,Sadık Müşteriler
12789,65,1,59.8,3,1,1,5,311,Pasif Müşteriler
12790,192,1,324.82,1,1,2,4,112,Kayıp Müşteriler
12791,373,1,192.55,1,1,1,3,111,Kayıp Müşteriler
12792,256,1,374.44,1,1,2,4,112,Kayıp Müşteriler
12793,334,2,506.33,1,2,3,6,123,Pasif Müşteriler
12794,53,2,860.41,3,2,3,8,323,Potansiyel Sadıklar
12795,18,1,378.28,4,1,2,7,412,Yeni Müşteriler
12797,365,1,240.98,1,1,2,4,112,Kayıp Müşteriler
12798,10,3,988.32,5,3,4,12,534,Sadık Müşteriler
12802,186,1,427.48,1,1,2,4,112,Kayıp Müşteriler
12808,36,3,470.6,3,3,3,9,333,Sadık Müşteriler
12809,177,1,450.16,2,1,2,5,212,Pasif Müşteriler
12811,260,3,489.75,1,3,3,7,133,Risk Altındakiler
12812,44,1,229.64,3,1,1,5,311,Pasif Müşteriler
12814,101,1,100.87,2,1,1,4,211,Pasif Müşteriler
12815,147,2,938.21,2,2,4,8,224,Pasif Müşteriler
12816,95,2,470.05,2,2,3,7,223,Pasif Müşteriler
12817,281,1,140.99,1,1,1,3,111,Kayıp Müşteriler
12818,261,1,1112.15,1,1,4,6,114,Pasif Müşteriler
12820,3,4,942.34,5,4,4,13,544,Şampiyonlar
12821,214,1,92.72,1,1,1,3,111,Kayıp Müşteriler
12822,70,2,948.88,3,2,4,9,324,Potansiyel Sadıklar
12823,74,5,1759.5,2,4,4,10,244,Risk Altındakiler
12824,59,1,397.12,3,1,2,6,312,Pasif Müşteriler
12826,2,7,1474.72,5,5,4,14,554,Şampiyonlar
12827,5,3,430.15,5,3,2,10,532,Potansiyel Sadıklar
12828,2,6,1016.71,5,5,4,14,554,Şampiyonlar
12829,336,2,222.0,1,2,1,4,121,Kayıp Müşteriler
12830,37,6,3857.12,3,5,5,13,355,Sadık Müşteriler
12831,262,1,215.05,1,1,1,3,111,Kayıp Müşteriler
12832,32,2,383.03,4,2,2,8,422,Yeni Müşteriler
12833,145,1,417.38,2,1,2,5,212,Pasif Müşteriler
12834,282,1,312.38,1,1,2,4,112,Kayıp Müşteriler
12836,59,4,2577.76,3,4,5,12,345,Sadık Müşteriler
12837,173,1,132.1,2,1,1,4,211,Pasif Müşteriler
12838,33,2,646.23,3,2,3,8,323,Potansiyel Sadıklar
12839,2,14,5576.52,5,5,5,15,555,Şampiyonlar
12840,143,4,2726.77,2,4,5,11,245,Risk Altındakiler
12841,4,25,3972.83,5,5,5,15,555,Şampiyonlar
12842,70,2,1068.94,3,2,4,9,324,Potansiyel Sadıklar
12843,65,8,1674.37,3,5,4,12,354,Sadık Müşteriler
12844,29,2,317.41,4,2,2,8,422,Yeni Müşteriler
12845,267,4,319.29,1,4,2,7,142,Pasif Müşteriler
12847,22,1,757.98,4,1,3,8,413,Yeni Müşteriler
12849,31,2,997.69,4,2,4,10,424,Yeni Müşteriler
12851,96,1,124.16,2,1,1,4,211,Pasif Müşteriler
12852,294,1,311.55,1,1,2,4,112,Kayıp Müşteriler
12853,134,6,1957.1,2,5,5,12,255,Risk Altındakiler
12854,78,3,1305.85,2,3,4,9,234,Risk Altındakiler
12855,372,1,38.1,1,1,1,3,111,Kayıp Müşteriler
12856,7,6,2112.33,5,5,5,15,555,Şampiyonlar
12857,210,2,1106.4,1,2,4,7,124,Pasif Müşteriler
12863,52,1,521.2,3,1,3,7,313,Pasif Müşteriler
12864,138,1,127.2,2,1,1,4,211,Pasif Müşteriler
12865,26,2,1554.23,4,2,4,10,424,Yeni Müşteriler
12866,283,1,558.92,1,1,3,5,113,Pasif Müşteriler
12867,26,7,3936.71,4,5,5,14,455,Şampiyonlar
12868,185,6,1607.06,1,5,4,10,154,Risk Altındakiler
12871,84,2,380.64,2,2,2,6,222,Pasif Müşteriler
12872,326,2,599.97,1,2,3,6,123,Pasif Müşteriler
12873,282,1,374.0,1,1,2,4,112,Kayıp Müşteriler
12875,143,2,40.8,2,2,1,5,221,Pasif Müşteriler
12876,57,2,2217.47,3,2,5,10,325,Potansiyel Sadıklar
12877,3,12,1535.77,5,5,4,14,554,Şampiyonlar
12878,236,2,854.99,1,2,3,6,123,Pasif Müşteriler
12879,44,3,573.22,3,3,3,9,333,Sadık Müşteriler
12881,275,1,117.95,1,1,1,3,111,Kayıp Müşteriler
12882,9,2,1463.04,5,2,4,11,524,Yeni Müşteriler
12883,24,4,701.47,4,4,3,11,443,Sadık Müşteriler
12884,88,1,168.95,2,1,1,4,211,Pasif Müşteriler
12885,63,3,1169.22,3,3,4,10,334,Sadık Müşteriler
12886,67,2,1378.4,3,2,4,9,324,Potansiyel Sadıklar
12888,214,2,354.12,1,2,2,5,122,Kayıp Müşteriler
12890,24,1,375.07,4,1,2,7,412,Yeni Müşteriler
12891,185,3,123.6,1,3,1,5,131,Pasif Müşteriler
12893,30,1,149.2,4,1,1,6,411,Yeni Müşteriler
12895,42,2,372.8,3,2,2,7,322,Potansiyel Sadıklar
12897,204,2,216.5,1,2,1,4,121,Kayıp Müşteriler
